"debut";"fin";"Aquitaine";"Austrasie";"Bourgogne";"Neustrie";"Provence";"autres";"ecclesiastiques";"nobles"
"405";585;590;0;0;1;0;0;0;0;1
"406";NA;NA;0;0;0;0;0;0;0;0
"407";507;507;0;1;0;0;0;1;0;0
"408";511;524;0;0;1;0;0;0;0;1
"409";560;565;0;0;0;1;0;0;0;1
"411";481;511;0;0;0;1;0;0;0;1
"412";NA;NA;0;0;0;0;0;0;0;0
"413";511;561;0;0;0;1;0;0;0;1
"414";NA;NA;0;0;0;0;0;0;0;0
"415";NA;NA;0;0;0;0;0;0;0;0
"416";492;511;0;0;0;1;0;0;0;1
"417";567;590;1;0;0;0;0;0;1;0
"418";561;582;0;0;0;1;0;0;0;1
"419";NA;NA;0;0;0;0;0;0;0;0
"420";506;533;1;0;0;0;0;1;0;0
"421";NA;590;0;0;1;0;0;1;0;0
"422";580;584;0;0;0;1;0;1;0;0
"423";485;506;1;0;0;0;0;1;0;0
"424";549;554;0;0;0;0;1;0;1;0
"425";NA;NA;0;0;0;0;0;0;0;0
"426";510;512;0;1;0;0;0;0;1;0
"427";515;520;0;0;1;0;0;1;0;0
"428";530;545;0;0;1;0;0;0;1;0
"429";541;541;0;0;0;0;1;1;0;0
"430";587;587;0;1;0;0;0;1;0;0
"431";585;585;0;0;1;0;0;0;1;0
"432";NA;NA;0;0;0;0;0;0;0;0
"433";520;540;0;0;0;1;0;0;0;1
"435";541;552;0;0;0;0;1;1;0;0
"436";NA;NA;0;0;0;0;0;0;0;0
"437";549;573;0;0;0;0;1;1;0;0
"438";590;605;0;0;1;0;0;0;1;0
"439";590;600;0;0;1;0;0;0;1;0
"440";511;534;0;1;0;0;0;1;0;0
"442";578;589;1;0;0;0;0;0;1;0
"443";NA;NA;0;0;0;0;0;0;0;0
"444";NA;NA;0;0;0;0;0;0;0;0
"445";515;517;0;0;1;0;0;1;0;0
"446";517;529;0;0;0;0;1;1;0;0
"447";549;579;0;0;1;0;0;1;0;0
"448";485;499;0;0;1;0;0;0;1;0
"449";514;535;0;0;0;0;1;1;0;0
"450";580;590;0;1;0;0;0;1;0;0
"452";511;520;0;0;0;1;0;1;0;0
"453";561;575;0;1;0;0;0;1;0;0
"454";554;554;0;0;0;0;1;0;1;0
"455";500;511;1;0;0;0;0;1;0;0
"456";511;561;1;0;0;0;0;0;1;0
"457";514;549;0;0;0;0;1;1;0;0
"458";538;538;0;0;0;1;0;0;1;0
"459";554;554;0;0;0;0;1;0;1;0
"460";490;490;0;0;1;0;0;1;0;0
"461";524;580;1;0;0;0;0;1;0;0
"462";541;541;1;0;0;0;0;1;0;0
"463";614;650;0;0;1;0;0;1;0;0
"464";NA;NA;0;0;0;0;0;0;0;0
"465";534;541;1;0;0;0;0;0;0;1
"466";535;535;1;0;0;0;0;1;0;0
"467";541;588;0;0;0;0;1;1;0;0
"468";529;554;0;1;0;0;0;1;0;0
"469";549;551;1;0;0;0;0;1;0;0
"470";NA;570;0;0;1;0;0;0;1;0
"471";585;585;0;0;1;0;0;0;1;0
"472";524;524;0;0;0;0;1;0;1;0
"473";527;532;0;0;1;0;0;1;0;0
"475";573;585;0;0;0;0;1;1;0;0
"476";585;NA;1;0;0;0;0;1;0;0
"477";585;NA;1;0;0;0;0;1;0;0
"478";605;623;0;0;1;0;0;1;0;0
"479";NA;612;0;0;1;0;0;0;1;0
"480";586;605;1;0;0;0;0;0;1;0
"481";522;542;0;0;0;0;1;0;1;0
"482";590;604;1;0;0;0;0;1;0;0
"483";575;587;0;0;0;0;1;1;0;0
"484";521;522;0;0;0;1;0;1;0;0
"485";575;583;1;0;0;0;0;0;1;0
"486";NA;NA;0;0;0;0;0;0;0;0
"487";582;584;0;0;0;1;0;1;0;0
"488";540;560;0;0;0;1;0;1;0;0
"489";480;513;0;0;1;0;0;1;0;0
"490";535;560;0;1;0;0;0;1;0;0
"491";555;567;0;0;0;1;0;1;0;0
"492";534;537;0;0;1;0;0;1;0;0
"493";NA;NA;0;0;0;0;0;0;0;0
"494";550;559;0;0;0;1;0;0;1;0
"495";500;506;0;0;1;0;0;1;0;0
"496";592;609;0;0;1;0;0;0;1;0
"497";587;587;0;0;0;1;0;1;0;0
"498";NA;515;0;0;1;0;0;0;1;0
"499";584;589;0;0;0;1;0;1;0;0
"500";527;527;0;0;1;0;0;1;0;0
"501";540;559;0;0;1;0;0;0;1;0
"502";585;589;0;1;0;0;0;1;0;0
"503";614;614;0;0;1;0;0;1;0;0
"505";570;591;0;1;0;0;0;1;0;0
"506";575;596;0;1;0;0;0;1;0;0
"507";561;584;0;0;0;1;0;1;0;0
"509";587;589;0;0;0;1;0;0;0;1
"510";511;511;0;0;0;1;0;1;0;0
"511";538;549;0;0;0;1;0;0;1;0
"512";514;514;0;0;0;0;1;0;1;0
"513";549;552;0;0;0;1;0;1;0;0
"514";560;590;0;1;0;0;0;1;0;0
"516";589;589;0;1;0;0;0;1;0;0
"517";485;490;1;0;0;0;0;1;0;0
"518";535;540;1;0;0;0;0;1;0;0
"519";579;580;0;1;0;0;0;1;0;0
"520";486;496;0;0;0;1;0;0;0;1
"521";NA;NA;0;0;0;0;0;0;0;0
"522";527;555;0;0;1;0;0;1;0;0
"523";549;549;1;0;0;0;0;0;1;0
"524";579;585;0;0;0;0;1;1;0;0
"525";555;570;1;0;0;0;0;1;0;0
"526";NA;NA;0;0;0;0;0;0;0;0
"527";524;524;0;0;0;0;1;1;0;0
"528";533;535;0;0;0;0;1;1;0;0
"529";614;614;1;0;0;0;0;1;0;0
"530";575;577;1;0;0;0;0;0;0;1
"531";585;585;0;0;1;0;0;0;1;0
"532";485;530;1;0;0;0;0;0;1;0
"533";537;581;1;0;0;0;0;1;0;0
"534";555;565;1;0;0;0;0;0;1;0
"535";511;511;0;0;0;1;0;1;0;0
"536";549;554;0;0;0;0;1;0;1;0
"537";570;590;0;1;0;0;0;0;1;0
"538";575;590;0;0;1;0;0;0;1;0
"539";591;610;0;0;1;0;0;0;1;0
"540";614;614;0;0;0;1;0;1;0;0
"541";524;533;0;0;0;0;1;1;0;0
"542";529;543;0;0;0;0;1;1;0;0
"543";614;614;0;1;0;0;0;1;0;0
"544";491;515;1;0;0;0;0;1;0;0
"546";571;571;1;0;0;0;0;0;1;0
"547";505;507;1;0;0;0;0;1;0;0
"548";NA;NA;0;0;0;0;0;0;0;0
"549";494;494;0;0;0;0;1;0;1;0
"550";550;556;0;0;0;1;0;0;1;0
"551";520;525;0;0;1;0;0;0;1;0
"552";605;614;0;0;0;1;0;1;0;0
"553";457;490;0;0;1;0;0;0;1;0
"554";585;590;1;0;0;0;0;0;0;1
"555";490;500;0;0;0;1;0;1;0;0
"556";530;549;0;0;0;1;0;1;0;0
"557";584;590;0;0;0;1;0;0;1;0
"558";560;580;0;0;0;1;0;1;0;0
"559";585;585;0;0;1;0;0;0;1;0
"560";591;610;0;0;1;0;0;0;1;0
"561";580;584;0;0;0;1;0;0;0;1
"562";NA;NA;0;0;0;0;0;0;0;0
"563";485;491;1;0;0;0;0;0;1;0
"564";511;511;0;0;1;0;0;1;0;0
"565";533;555;1;0;0;0;0;1;0;0
"566";543;554;0;0;0;0;1;1;0;0
"567";570;581;0;0;0;0;1;0;1;0
"568";581;585;0;0;1;0;0;1;0;0
"569";575;596;0;1;0;0;0;1;0;0
"570";NA;591;0;0;0;1;0;1;0;0
"571";614;614;0;0;0;0;1;1;0;0
"572";614;622;1;0;0;0;0;1;0;0
"573";575;590;0;0;0;1;0;0;1;0
"574";555;570;0;0;1;0;0;0;1;0
"575";NA;591;0;0;1;0;0;0;1;0
"576";NA;NA;0;0;0;0;0;0;0;0
"577";511;520;0;0;0;1;0;1;0;0
"578";575;590;0;0;0;1;0;0;1;0
"579";568;568;0;0;1;0;0;0;1;0
